rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
747,f,FALSE,180,0,or,repetition,incongruent,1,2
692,f,TRUE,180,180,or,repetition,congruent,1,2
727,j,TRUE,0,0,mov,switch,congruent,1,2
865,j,FALSE,180,0,mov,repetition,incongruent,1,2
720,f,TRUE,180,180,or,switch,congruent,1,2
683,j,FALSE,180,0,mov,switch,incongruent,1,2
626,f,TRUE,0,180,or,switch,incongruent,1,2
748,f,FALSE,0,180,mov,switch,incongruent,1,2
1061,f,TRUE,180,180,mov,repetition,congruent,1,2
481,j,TRUE,0,0,or,switch,congruent,1,2
697,j,FALSE,180,0,mov,switch,incongruent,1,2
703,j,FALSE,180,0,mov,repetition,incongruent,1,2
871,f,TRUE,180,180,mov,repetition,congruent,1,2
849,j,TRUE,180,0,or,switch,incongruent,1,2
670,f,TRUE,180,180,or,repetition,congruent,1,2
597,j,TRUE,0,0,mov,switch,congruent,1,2
664,f,TRUE,180,180,mov,repetition,congruent,1,2
687,f,FALSE,180,0,or,switch,incongruent,1,2
662,j,FALSE,0,180,or,repetition,incongruent,1,2
697,j,TRUE,180,0,or,repetition,incongruent,1,2
616,j,FALSE,180,0,mov,switch,incongruent,1,2
915,j,FALSE,180,180,mov,repetition,congruent,1,2
741,j,TRUE,0,180,mov,repetition,incongruent,1,2
660,f,FALSE,180,0,or,switch,incongruent,1,2
671,j,TRUE,0,0,or,repetition,congruent,1,2
569,j,TRUE,0,0,mov,switch,congruent,1,2
653,f,TRUE,180,180,mov,repetition,congruent,1,2
773,f,FALSE,0,180,mov,repetition,incongruent,1,2
560,f,TRUE,180,180,or,switch,congruent,1,2
548,j,TRUE,0,180,mov,switch,incongruent,1,2
571,f,TRUE,0,180,or,switch,incongruent,1,2
649,j,TRUE,0,0,or,repetition,congruent,1,2
531,f,TRUE,180,180,mov,switch,congruent,1,2
570,j,FALSE,180,0,mov,repetition,incongruent,1,2
631,f,TRUE,180,180,or,switch,congruent,1,2
917,f,TRUE,180,180,mov,switch,congruent,1,2
726,f,TRUE,180,180,or,switch,congruent,1,2
525,j,FALSE,0,180,or,repetition,incongruent,1,2
619,j,TRUE,180,0,or,repetition,incongruent,1,2
498,f,TRUE,180,180,mov,switch,congruent,1,2
854,f,FALSE,0,180,mov,repetition,incongruent,1,2
628,j,TRUE,0,0,mov,repetition,congruent,1,2
568,f,TRUE,180,180,mov,repetition,congruent,1,2
581,f,TRUE,180,180,or,switch,congruent,1,2
593,f,TRUE,180,180,or,repetition,congruent,1,2
901,f,FALSE,180,0,or,repetition,incongruent,1,2
598,j,FALSE,0,180,or,repetition,incongruent,1,2
803,j,TRUE,0,0,mov,switch,congruent,1,2
682,j,FALSE,0,180,or,switch,incongruent,1,2
585,f,FALSE,0,180,mov,switch,incongruent,1,2
615,j,TRUE,0,0,or,switch,congruent,1,2
703,f,FALSE,0,0,mov,switch,congruent,1,2
571,f,TRUE,180,180,mov,repetition,congruent,1,2
472,j,TRUE,0,0,or,switch,congruent,1,2
537,j,TRUE,0,0,mov,switch,congruent,1,2
518,j,TRUE,180,0,or,switch,incongruent,1,2
686,f,FALSE,0,180,mov,switch,incongruent,1,2
842,j,FALSE,180,0,mov,repetition,incongruent,1,2
597,f,TRUE,180,180,mov,repetition,congruent,1,2
665,j,FALSE,0,180,or,switch,incongruent,1,2
615,j,TRUE,0,0,or,repetition,congruent,1,2
570,f,FALSE,180,0,or,repetition,incongruent,1,2
615,f,FALSE,180,0,or,repetition,incongruent,1,2
494,j,FALSE,0,180,or,repetition,incongruent,1,2
564,j,FALSE,0,180,or,repetition,incongruent,1,2
804,j,TRUE,0,0,mov,switch,congruent,1,2
728,f,FALSE,0,0,or,switch,congruent,1,2
832,j,FALSE,0,180,or,repetition,incongruent,1,2
627,f,FALSE,180,0,or,repetition,incongruent,1,2
614,j,TRUE,0,0,or,repetition,congruent,1,2
539,j,FALSE,180,0,mov,switch,incongruent,1,2
672,f,TRUE,180,0,mov,repetition,incongruent,1,2
1064,j,FALSE,0,180,or,switch,incongruent,1,2
583,f,TRUE,180,180,mov,switch,congruent,1,2
681,f,TRUE,180,180,or,switch,congruent,1,2
482,j,TRUE,0,0,or,repetition,congruent,1,2
590,f,TRUE,180,180,or,repetition,congruent,1,2
711,f,FALSE,0,180,mov,switch,incongruent,1,2
536,j,TRUE,0,0,or,switch,congruent,1,2
879,j,TRUE,0,0,mov,null,congruent,1,3
841,f,TRUE,180,180,or,switch,congruent,1,3
705,j,TRUE,0,0,mov,switch,congruent,1,3
648,j,TRUE,0,0,or,switch,congruent,1,3
892,f,FALSE,0,180,mov,switch,incongruent,1,3
648,j,TRUE,180,0,or,switch,incongruent,1,3
642,j,TRUE,0,0,or,repetition,congruent,1,3
682,f,TRUE,0,180,or,repetition,incongruent,1,3
749,j,TRUE,0,0,mov,switch,congruent,1,3
527,f,FALSE,0,180,mov,repetition,incongruent,1,3
591,j,TRUE,0,0,or,switch,congruent,1,3
629,j,FALSE,180,0,mov,switch,incongruent,1,3
572,f,TRUE,180,180,mov,repetition,congruent,1,3
605,f,TRUE,180,180,mov,repetition,congruent,1,3
685,j,TRUE,180,0,or,switch,incongruent,1,3
1039,f,FALSE,0,180,mov,switch,incongruent,1,3
540,j,TRUE,0,0,mov,repetition,congruent,1,3
632,f,FALSE,0,180,mov,repetition,incongruent,1,3
970,j,TRUE,0,0,mov,repetition,congruent,1,3
630,j,FALSE,0,180,or,switch,incongruent,1,3
871,j,TRUE,0,0,mov,switch,congruent,1,3
827,j,FALSE,180,0,mov,repetition,incongruent,1,3
851,f,TRUE,180,0,mov,repetition,incongruent,1,3
829,j,FALSE,0,180,or,switch,incongruent,1,3
837,j,TRUE,0,0,or,repetition,congruent,1,3
647,f,TRUE,180,180,or,repetition,congruent,1,3
683,f,TRUE,180,180,or,repetition,congruent,1,3
650,j,TRUE,0,180,mov,switch,incongruent,1,3
873,j,TRUE,180,0,or,switch,incongruent,1,3
606,j,TRUE,0,0,or,repetition,congruent,1,3
595,j,TRUE,0,0,mov,switch,congruent,1,3
551,f,TRUE,180,180,mov,repetition,congruent,1,3
816,f,TRUE,180,180,or,switch,congruent,1,3
594,j,TRUE,0,0,mov,switch,congruent,1,3
892,j,FALSE,180,0,mov,repetition,incongruent,1,3
709,j,TRUE,0,0,mov,repetition,congruent,1,3
969,f,FALSE,0,180,mov,repetition,incongruent,1,3
772,j,FALSE,0,180,or,switch,incongruent,1,3
595,f,TRUE,180,180,mov,switch,congruent,1,3
614,j,FALSE,180,0,mov,repetition,incongruent,1,3
650,j,FALSE,0,180,or,switch,incongruent,1,3
818,j,TRUE,0,0,or,repetition,congruent,1,3
703,f,FALSE,180,0,or,repetition,incongruent,1,3
1025,j,FALSE,0,180,or,repetition,incongruent,1,3
